,redirect_id_sharing_events,url_str_lens,req_header_num,semicolon_in_query,samesite_none_in_header,p3p_in_header,etag_in_header,uuid_in_url,tracking_keywords_next_to_special_char,subdomain_check,special_char_count,req_query_str_lens,req_query_cookies_num,tracking_keywords_in_url,query_url_check,cookie_syncs
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,18,20,0,0,0,0,0,0,1,19,78,78,0,0,0
2,0,18,20,0,0,0,0,0,0,1,19,78,78,0,0,0
3,0,18,20,0,0,0,0,0,0,1,19,78,78,0,0,0
4,1,13,6,0,1,1,0,0,1,1,11,113,113,1,0,0
5,0,25,10,0,1,1,0,1,1,1,30,240,240,1,1,0
6,0,14,9,0,0,1,0,1,1,1,34,247,247,1,1,0
7,1,13,14,0,1,0,0,1,1,1,15,130,130,1,0,0
8,0,12,16,0,1,1,0,1,1,1,22,211,211,1,1,0
9,1,21,12,0,0,1,0,1,1,1,7,66,66,1,0,0
10,0,11,11,0,1,1,1,1,1,1,29,213,213,1,1,0
11,0,15,7,0,1,0,0,0,1,1,9,43,43,1,0,0
12,0,16,8,0,0,0,0,0,1,1,5,47,47,1,0,0
13,0,12,10,0,1,1,0,0,1,1,1,36,36,1,0,0
14,0,16,10,0,1,1,0,0,1,1,10,46,46,1,0,0
15,1,12,6,0,0,0,0,1,1,1,36,413,413,1,1,0
16,1,13,9,0,0,1,0,0,1,1,16,158,158,1,0,0
17,1,16,11,0,1,1,1,0,1,1,7,46,46,1,0,0
18,1,13,16,0,1,1,0,0,1,1,11,113,113,1,0,0
19,1,20,8,0,0,0,0,1,1,1,9,55,55,1,0,0
20,1,16,7,0,1,0,0,1,1,1,33,186,186,1,1,0
21,1,12,10,0,1,1,0,1,1,1,9,56,56,1,0,0
22,1,13,16,0,1,1,0,1,1,1,28,364,364,1,1,1
23,0,21,14,0,1,1,0,1,1,1,9,72,72,1,0,0
24,0,11,10,0,1,1,0,1,1,1,0,0,0,1,0,0
25,1,13,6,0,0,0,0,0,1,1,11,138,138,1,0,0
26,1,15,12,0,1,1,0,1,1,1,25,146,146,1,0,0
27,1,30,10,0,1,1,0,1,1,1,26,207,207,1,1,0
28,1,20,7,0,1,0,0,1,1,1,17,85,85,1,0,0
29,0,19,12,0,1,0,0,0,1,1,19,113,113,1,1,0
30,1,13,8,0,1,1,1,1,1,1,17,136,136,1,0,0
31,1,9,10,0,1,1,0,1,1,1,14,75,75,1,0,0
32,1,9,10,0,1,1,0,0,1,1,6,123,123,1,0,0
